# Shows to move into the anime library bucket.
#
# Anime here means Japanese-produced animation. Western animation is NOT
# included, even when Floppy tags it with the Animation genre.
#
# Lines starting with # are ignored. Only the leading source:media_id is read.
# Delete anything you disagree with; uncomment a borderline line to include it.
#
# ---- Anime (18) ----
tmdb:43167	Accel World
tmdb:70881	Boruto: Naruto Next Generations
tmdb:62745	Is It Wrong to Try to Pick Up Girls in a Dungeon?
tmdb:95479	JUJUTSU KAISEN
tmdb:280110	My Hero Academia: Vigilantes
tmdb:46260	Naruto
tmdb:31910	Naruto Shippūden
tmdb:65942	Re:ZERO -Starting Life in Another World-
tmdb:69292	Scum's Wish
tmdb:205050	Shangri-La Frontier
tmdb:127532	Solo Leveling
tmdb:229676	Spice and Wolf: MERCHANT MEETS THE WISE WOLF
tmdb:120089	SPY x FAMILY
tmdb:78204	Sword Art Online Alternative: Gun Gale Online
tmdb:82684	That Time I Got Reincarnated as a Slime
tmdb:62104	The Seven Deadly Sins
tmdb:218843	The Seven Deadly Sins: Four Knights of the Apocalypse
tmdb:118541	The Slime Diaries
#
# ---- Borderline: NOT included, uncomment to add (7) ----
# tmdb:111111	Blood of Zeus   <- anime-styled, but produced by Powerhouse Animation (US)
# tmdb:225180	BLUE EYE SAMURAI   <- Japanese setting, French/American production
# tmdb:232230	Lord of Mysteries   <- Chinese donghua, not Japanese anime
# tmdb:195339	Pantheon   <- US production, Japanese-influenced style
# tmdb:114478	Star Wars: Visions   <- anthology by Japanese anime studios (S1); S2 is international
# tmdb:117830	Tomb Raider: The Legend of Lara Croft   <- anime-styled, Powerhouse Animation (US)
# tmdb:97333	Twilight of the Gods   <- anime-styled, Xilam (France) for Netflix
